userid,movieid,rating,timestamp
36,2987,5,36
36,3424,5,36
36,648,5,36
36,2628,3,36
36,1320,3,36
36,1250,5,36
36,3793,4,36
36,2058,4,36
36,2700,5,36
36,1259,5,36
36,3361,5,36
36,2706,5,36
36,1831,3,36
36,587,4,36
36,588,4,36
36,589,5,36
36,1909,5,36
36,223,5,36
36,1,5,36
36,6,5,36
36,2064,5,36
36,1408,5,36
36,1265,4,36
36,1266,5,139
36,733,4,36
36,1196,5,36
36,1197,4,36
36,1198,4,62
36,2640,4,62
36,592,5,62
36,1912,5,98
36,593,5,36
36,2716,4,36
36,595,4,139
36,2571,5,36
36,597,5,36
36,3448,4,36
36,161,4,36
36,235,3,36
36,165,4,36
36,2145,5,36
36,1270,5,36
36,2078,4,36
36,1276,5,36
36,1278,5,36
36,3526,4,36
36,3527,5,36
36,1923,5,36
36,316,3,36
36,2081,5,36
36,1356,5,36
36,1358,5,36
36,1285,3,36
36,3101,5,36
36,2599,4,36
36,3104,4,62
36,329,3,36
36,3039,4,36
36,1291,5,98
36,2167,5,98
36,2094,4,36
36,2671,5,36
36,2746,2,36
36,10,4,36
36,1876,4,36
36,260,5,62
36,11,4,36
36,3114,5,36
36,16,3,36
36,2243,4,36
36,2245,4,36
36,1370,4,36
36,1517,4,36
36,1372,2,36
36,912,5,36
36,2248,5,36
36,1374,4,62
36,1376,3,62
36,3623,5,36
36,3552,4,36
36,2683,5,36
36,1954,4,62
36,21,5,36
36,2321,3,36
36,3052,4,36
36,349,4,36
36,1527,4,36
36,924,4,36
36,3702,4,62
36,780,4,36
36,1387,5,98
36,858,5,62
36,785,5,36
36,2762,5,36
36,2763,4,36
36,788,4,36
36,1968,4,36
36,2699,5,36
36,32,5,36
36,356,5,36
36,34,5,36
36,2406,4,36
36,2407,3,36
36,1608,5,62
36,2194,5,62
36,1393,5,36
36,1396,5,36
36,1101,5,62
36,2915,4,36
36,2916,4,36
36,2918,4,36
36,500,4,36
36,1036,4,62
36,3578,5,36
36,1610,5,36
36,292,4,62
36,3072,4,36
36,368,4,62
36,47,5,36
36,296,5,139
36,3147,5,36
36,2273,4,62
36,1617,4,36
36,1544,3,36
36,2278,4,36
36,2858,4,36
36,441,3,36
36,2424,5,36
36,3081,4,36
36,2352,4,36
36,377,5,36
36,2353,4,36
36,2355,5,36
36,3087,4,36
36,1485,4,36
36,3591,3,36
36,2791,5,36
36,1127,4,36
36,2797,4,36
36,380,4,36
36,527,5,36
36,454,5,36
36,2502,3,36
36,457,5,36
36,2369,4,139
36,2000,4,36
36,1569,5,36
36,2001,5,62
36,1200,5,36
36,1201,4,98
36,3671,5,36
36,2871,3,36
36,969,4,36
36,1208,5,36
36,2948,4,62
36,1136,4,36
36,608,5,36
36,466,4,36
36,1641,4,36
36,2371,4,36
36,3175,5,36
36,3176,5,36
36,1645,4,36
36,1573,5,36
36,2012,3,36
36,1210,5,36
36,3753,4,36
36,1214,5,36
36,2959,4,36
36,541,5,62
36,1079,5,36
36,474,5,36
36,3253,5,36
36,1722,4,36
36,3255,4,36
36,3256,4,36
36,1653,5,36
36,1580,4,36
36,110,4,36
36,2529,5,62
36,111,3,36
36,1584,4,36
36,2023,4,36
36,1221,3,62
36,3763,4,36
36,2890,4,36
36,2028,4,36
36,1080,3,36
36,551,4,36
36,480,5,36
36,3408,5,45
36,3263,4,36
36,1805,5,36
36,2391,4,36
36,1663,4,36
36,2393,4,36
36,2395,4,36
36,2100,4,36
36,1597,4,62
36,2105,3,62
36,2108,3,36
36,1307,4,36
36,1090,5,36
36,1092,4,36
36,1094,4,36
36,708,4,36
36,1097,4,36
36,3418,3,62
36,2617,4,62
36,1747,3,36
36,1674,4,36
36,1676,4,36
36,2115,5,98
36,1240,4,36
36,2985,4,98
48,2987,3,36
48,648,3,36
48,1320,3,36
48,2124,3,36
48,1250,5,36
48,3793,3,36
48,2054,2,36
48,3868,3,36
48,2058,3,36
48,1183,3,36
48,1259,3,36
48,586,4,36
48,588,3,36
48,589,4,36
48,1,4,36
48,2,3,36
48,6,4,36
48,2134,2,36
48,1408,4,36
48,1265,3,36
48,1266,3,36
48,1193,4,36
48,733,2,36
48,1196,5,36
48,590,3,36
48,1197,3,36
48,736,3,36
48,1198,5,36
48,592,4,36
48,593,4,36
48,594,4,36
48,595,3,36
48,597,3,36
48,2140,3,36
48,2144,3,36
48,1270,4,36
48,2078,4,36
48,2150,3,36
48,2081,3,36
48,1282,2,36
48,1356,2,36
48,1358,3,36
48,2088,3,36
48,1288,3,36
48,2302,3,36
48,3033,4,36
48,3107,4,36
48,2161,3,36
48,903,4,36
48,1291,4,36
48,2094,3,36
48,832,3,36
48,1294,4,36
48,3114,5,36
48,2245,3,36
48,1370,3,36
48,1517,2,36
48,1371,2,36
48,2174,3,36
48,1372,3,36
48,912,5,36
48,1373,2,36
48,1374,3,36
48,1375,3,36
48,1376,3,36
48,1377,3,36
48,1378,3,36
48,919,4,36
48,778,3,36
48,2321,3,36
48,2324,4,36
48,1380,3,36
48,920,4,36
48,1527,3,36
48,923,4,36
48,924,4,36
48,780,4,36
48,1387,4,36
48,858,4,36
48,788,2,36
48,2405,3,36
48,2406,3,36
48,1608,3,36
48,2193,3,36
48,1391,2,36
48,2194,3,36
48,2268,3,36
48,1610,4,36
48,3147,4,36
48,1617,4,36
48,1544,4,36
48,2278,4,36
48,1479,4,36
48,2421,2,36
48,2423,4,36
48,2424,4,36
48,3081,3,36
48,3082,3,36
48,2353,3,36
48,2427,3,36
48,1625,3,36
48,1552,3,36
48,2355,4,36
48,1485,3,36
48,1704,3,36
48,2291,3,36
48,1562,2,36
48,1569,4,36
48,969,3,36
48,3247,2,36
48,3175,3,36
48,1573,3,36
48,104,3,36
