id,gender,age,occupation,county_nbr,state_nbr
1,1,4,15,90,7
2,1,3,17,75,32
3,1,3,15,7,23
4,1,3,13,132,25
5,1,2,15,144,7
6,1,2,8,115,35
7,1,2,5,115,35
8,1,3,5,49,30
9,1,3,15,71,25
10,1,3,6,52,47
11,1,2,5,100,21
12,1,3,1,40,16
13,1,3,2,44,43
14,1,3,5,143,7
15,1,3,6,115,35
16,1,2,5,117,38
17,1,3,4,143,7
18,1,2,5,132,25
19,1,3,16,45,47
20,2,2,5,170,7
21,1,3,3,96,16
22,2,4,10,38,42
23,2,2,5,100,21
24,1,3,8,115,35
25,1,2,17,157,25
26,1,1,11,90,7
27,1,2,13,90,7
28,1,3,15,109,37
29,1,2,5,81,46
30,1,3,1,113,9
31,1,3,1,60,31
32,1,3,5,32,45
33,1,5,7,156,45
34,1,3,13,81,46
35,1,3,8,69,43
36,1,3,13,40,16
37,1,4,8,132,25
38,1,3,15,59,13
39,1,3,18,134,7
40,1,2,2,34,13
41,1,3,2,89,37
42,2,3,2,76,43
43,2,2,5,100,21
44,1,4,16,120,7
45,1,3,6,73,14
46,1,2,6,161,24
47,1,6,12,77,48
48,1,2,5,164,46
49,1,3,13,53,21
50,1,4,8,155,28
51,2,4,15,167,21
52,1,4,8,138,26
53,1,2,3,40,16
54,1,2,18,93,7
55,1,2,1,165,16
56,1,3,1,123,38
57,1,3,17,100,21
58,1,4,1,50,16
59,2,3,1,133,45
60,1,3,5,120,28
61,1,4,7,126,15
62,1,3,15,120,7
63,2,2,13,140,44
64,1,2,15,115,35
65,2,3,3,22,35
66,1,2,5,26,19
67,1,3,18,81,46
68,1,3,5,44,43
69,1,3,7,106,38
70,2,2,3,81,46
71,1,6,18,25,32
72,1,3,5,40,16
73,1,3,13,81,46
74,2,2,5,76,8
75,1,2,13,43,25
76,1,7,17,118,24
77,1,2,17,85,37
78,1,3,1,55,45
79,1,2,3,8,25
80,1,3,7,76,4
81,1,3,5,62,13
82,1,2,5,31,16
83,2,4,7,1,1
84,2,6,7,61,43
85,1,2,5,115,35
86,1,4,6,123,38
87,2,3,8,139,12
88,2,6,8,93,7
89,1,3,21,126,15
90,1,6,15,119,35
91,1,3,6,1,1
92,2,3,4,71,25
93,1,2,2,142,7
94,1,3,13,132,25
95,1,3,6,71,25
96,1,3,2,130,39
97,1,6,18,95,14
98,1,3,6,159,24
99,1,4,8,53,32
100,1,3,16,5,17
101,1,4,8,126,15
102,1,4,8,53,32
103,1,3,15,4,38
104,1,4,3,159,24
105,1,4,8,89,15
106,1,3,1,40,16
107,1,4,21,39,7
108,1,3,21,90,7
109,1,4,8,11,32
110,1,3,13,72,31
111,1,3,18,44,43
112,1,2,18,49,18
113,1,4,18,147,7
114,1,2,5,28,29
115,1,3,19,82,42
116,1,4,6,145,7
117,1,3,18,111,11
118,1,4,1,150,43
119,1,2,18,99,12
120,1,4,13,163,38
121,1,3,12,71,25
122,1,5,4,8,25
123,1,7,17,147,7
124,1,2,5,47,16
125,1,3,18,160,47
126,2,2,5,152,43
127,1,3,5,48,10
128,1,3,15,83,16
129,1,2,13,145,7
130,1,2,20,3,49
131,1,3,21,6,43
132,1,3,2,148,7
133,1,2,5,18,25
134,1,2,3,115,35
135,1,2,5,24,12
136,1,3,18,85,37
137,1,4,16,2,7
138,1,4,18,29,28
139,1,3,18,69,43
140,2,4,10,56,9
141,1,4,8,16,38
142,1,3,13,152,43
143,1,3,8,140,44
144,1,3,18,93,7
145,1,7,21,145,7
146,1,5,17,40,16
147,1,3,1,48,10
148,1,4,13,143,7
149,1,3,8,40,16
150,1,3,16,14,37
151,1,3,6,58,36
152,1,2,20,84,38
153,2,3,2,142,7
154,1,3,5,116,21
155,1,4,17,14,46
156,1,3,8,12,22
157,1,5,7,154,45
158,2,4,17,17,43
159,1,3,2,15,32
160,1,3,3,44,43
161,1,3,8,49,30
162,1,3,1,21,30
163,2,3,18,76,8
164,1,3,16,2,7
165,2,4,17,20,8
166,1,4,12,76,19
167,1,3,13,2,7
168,2,3,8,33,35
169,1,3,1,56,9
170,2,3,15,40,16
171,1,2,5,161,24
172,2,4,7,106,36
173,1,3,3,151,46
174,1,2,13,106,4
175,2,2,2,40,16
176,1,3,12,141,7
177,1,2,1,142,7
178,2,2,5,120,28
179,1,3,5,170,7
180,1,2,16,45,47
181,1,2,1,166,47
182,1,3,16,40,16
183,1,2,18,3,35
184,1,3,2,84,30
185,1,3,2,141,7
186,1,3,7,101,47
187,1,2,21,79,24
188,2,2,5,81,46
189,2,4,1,149,36
