id,gender,age,occupation,zip
1,2,1,11,48067
2,1,7,17,70072
3,1,3,16,55117
4,1,5,8,02460
5,1,3,21,55455
6,2,6,10,55117
7,1,4,2,06810
8,1,3,13,11413
9,1,3,18,61614
10,2,4,2,95370
11,2,3,2,04093
12,1,3,13,32793
13,1,5,2,93304
14,1,4,1,60126
15,1,3,8,22903
16,2,4,1,20670
17,1,6,2,95350
18,2,2,4,95825
19,1,1,11,48073
20,1,3,15,55113
21,1,2,17,99353
22,1,2,16,53706
23,1,4,1,90049
24,2,3,8,10023
25,1,2,5,01609
26,1,3,8,23112
27,1,3,12,19130
28,2,3,2,14607
29,1,4,8,33407
30,2,4,8,19143
31,1,7,8,06840
32,2,3,1,19355
33,1,5,4,55421
34,2,2,1,02135
35,1,5,2,02482
36,1,3,4,94123
37,2,3,10,66212
38,2,2,5,02215
39,1,2,5,61820
40,1,5,1,10543
41,2,2,5,15116
42,1,3,9,24502
43,1,3,13,60614
44,1,5,18,98052
45,2,5,17,94110
46,1,2,20,75602
47,1,2,5,94305
48,1,3,5,92107
49,1,2,13,77084
50,2,3,3,98133
51,2,1,11,10562
52,1,2,5,72212
53,1,3,1,96931
54,1,6,2,56723
55,2,4,13,55303
56,1,4,21,60440
57,1,2,20,30350
58,1,3,3,30303
59,2,6,2,55413
60,1,6,2,72118
61,1,3,18,95122
62,2,4,4,98105
63,1,2,5,54902
64,1,2,2,53706
65,1,4,13,55803
66,1,3,19,57706
67,2,6,6,60181
68,1,2,5,53706
69,2,3,2,02143
70,1,2,5,53703
71,1,3,15,95008
72,2,5,1,55122
73,1,2,5,53706
74,1,4,15,94530
75,2,1,11,01748
76,1,4,8,55413
77,1,2,5,15321
78,2,5,2,98029
79,2,5,1,98103
80,1,7,2,49327
81,2,3,1,60640
82,1,3,18,48380
83,2,3,3,94609
84,1,2,5,53140
85,1,2,5,94945
86,2,1,11,54467
87,1,3,15,48360
88,2,5,2,02476
89,2,7,10,85749
90,1,7,14,85749
91,1,4,8,07650
92,2,2,5,44243
93,1,3,18,95825
94,1,3,18,28601
95,1,5,1,98201
96,2,3,17,78028
97,2,4,4,66210
98,2,4,8,33547
99,2,1,11,19390
100,1,4,18,95401
101,2,2,4,33314
102,1,4,20,20871
103,1,5,8,92104
104,1,3,13,00926
105,1,5,13,90277
106,2,4,12,79101
107,1,5,19,63129
108,1,3,13,30316
109,1,5,16,92028
110,1,3,3,90803
111,1,4,16,55416
112,1,3,17,97209
113,1,2,13,37032
114,2,3,3,83712
115,1,3,18,28083
116,1,3,18,55744
117,1,3,18,33314
118,1,4,18,22315
119,2,1,11,77515
120,1,3,12,27106
121,1,4,8,75229
122,2,2,5,94305
123,1,4,10,67208
124,1,7,8,91356
125,1,5,15,01701
126,1,2,10,98117
127,2,5,4,01770
128,1,7,7,37922
129,1,3,12,20164
130,1,4,18,50021
131,1,2,5,06520
132,1,3,18,99709
133,2,3,1,55071
134,1,3,1,66212
135,1,2,5,20006
136,1,2,3,21202
137,2,5,7,78758
138,1,2,21,22203
139,2,3,21,45409
140,2,4,2,55107
141,1,4,14,62035
142,1,3,8,10011
143,1,2,4,64043
144,1,3,18,29401
145,1,2,5,19081
146,2,4,21,10954
147,1,2,5,91360
148,1,6,18,57747
149,1,3,2,29205
150,1,4,8,98144
151,2,3,21,85013
152,1,2,5,48104
153,1,1,11,51537
154,1,6,21,94530
155,1,4,13,07470
156,2,5,8,14519
